tag|(noun) a game in which one player chases the others and tries to touch one to make him it.
put|(verb) to place in a specified position : lay, set.
hill|(noun) a more or less rounded elevation of land.
jam|(noun) a product made by boiling fruit and sugar to a thick consistency without preserving the shape of the fruit.
rug|(noun) a piece of thick heavy fabric that is used as a floor covering and is not intended to cover an entire floor.
try|(verb) to make an attempt to achieve something or to carry out some action.
cork|(noun) the outer tissues of the stem of the cork oak that is used commercially for cork stoppers and insulation.
add|(verb) to combine two or more numbers into one sum.
dime|(noun) a coin of the United States first issued in 1796 and worth 1/10 dollar.
mint|(noun) a soft or hard confection flavored with peppermint or spearmint and often served after dinner.
hope|(verb) to desire with expectation or with belief.
shy|(adjective) easily frightened : skittish, timid.
burn|(verb) to be on fire.
mask|(noun) a cover or partial cover for the face usually made of cloth with openings for the eyes.
kite|(noun) a device consisting of a light material stretched over a light often diamond- shaped framework, intended to be flown in the air at the end of a long string.
tape|(noun) a narrow strip of natural or artificial fibers coated on one side with an adhesive mixture and used for many purposes.
silly|(adjective) lacking importance or serious meaning : trivial, trifling, frivolous.
ants|(plural noun) insects living in colonies, usually burrowing in the ground or in wood and making chambers and passages in which they store their food and raise their young.
week|(noun) one of a series of seven-day cycles used in various calendars.
grade|(noun) one of the levels of an elementary or secondary school course that usually represents a year's work.
lace|(noun) a fine fabric with a ground of net on which patterns may be worked and which is made of thread by looping, twisting, or knotting.
sank|(verb) became submerged : went to the bottom : submerged.
acorn|(noun) the nut of the oak tree usually seated in or surrounded by a hard woody cup- shaped structure.
eel|(noun) any of numerous snakelike fishes that have a smooth slimy skin often without scales.
lung|(noun) one of the usually two organs that constitute the basic respiratory organ of air- breathing vertebrates.
beat|(verb) to mix together by means of repeated strong turning or stirring.
snore|(verb) to breathe during sleep with a rough hoarse noise due to vibration of the uvula and the soft palate.
grass|(noun) green herbage that affords food for grazing animals and that usually consists predominantly of narrow-leaved plants often intermixed with herbs.
never|(adverb) not ever : at no time.
July|(noun) the seventh month of the year.
sleep|(verb) to rest in the natural suspension of consciousness during which the powers of the body are restored.
punch|(noun) a beverage composed of fruit juices and other nonalcoholic liquids (as tea, ginger ale) and usually served cold.
lamp|(noun) a light-giving device.
globe|(noun) a round ball that has a map of the earth drawn on it and that is usually set so as to be rotatable at an angle corresponding to the inclination of the earth's axis.
always|(adverb) on every occasion : at all times.
thank|(verb) to express gratitude to.
moose|(noun) a large mammal that inhabits forested parts of Canada and the northern United States, stands about seven feet high at the shoulders and has long legs, a short tail, a large head and antlers with many points.
count|(verb) to separate one by one to find the total number of units : number or tally.
foxes|(plural noun) any of various mammals related to the wolves but smaller, with shorter legs, more pointed muzzle, large erect ears and long bushy tail.
tooth|(noun) one of the hard bony appendages that are on the jaws and that serve especially for the taking hold and chewing of food.
north|(noun) the direction to the left of one facing east and opposite to south.
tower|(noun) a building or structure designed primarily for elevation that is higher than its diameter and high relative to its surroundings.
